method,reward,cost,cost_pct_of_120b,reward_pct_of_120b,label,lambda,source
Direct random,0.378827571,0.00274998096142,19.775,80.255,0.0948*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.9052*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.379260948,0.00276214901877,19.863,80.347,0.0904*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.9096*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.379694325,0.00277431707612,19.950,80.439,0.0860*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.9140*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.379941969,0.00278127025175,20.000,80.491,0.0834*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.9166*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.380127702,0.00278648513347,20.038,80.531,0.0816*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.9184*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.380561078,0.00279865319082,20.125,80.623,0.0771*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.9229*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.380994455,0.00281082124817,20.212,80.714,0.0727*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.9273*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.381180188,0.0028160361299,20.250,80.754,0.0708*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.9292*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.381427832,0.00282298930552,20.300,80.806,0.0683*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.9317*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.381861209,0.00283515736288,20.387,80.898,0.0638*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.9362*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.382294586,0.00284732542023,20.475,80.990,0.0594*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.9406*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.382418408,0.00285080200804,20.500,81.016,0.0582*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.9418*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.382727963,0.00285949347758,20.562,81.082,0.0550*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.9450*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.383161340,0.00287166153493,20.650,81.173,0.0506*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.9494*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.383594717,0.00288382959228,20.738,81.265,0.0461*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.9539*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.383656628,0.00288556788619,20.750,81.278,0.0455*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.9545*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.384028094,0.00289599764963,20.825,81.357,0.0417*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.9583*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.384461471,0.00290816570698,20.913,81.449,0.0373*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.9627*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.384894848,0.00292033376434,21.000,81.541,0.0329*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.9671*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.385328225,0.00293250182169,21.087,81.632,0.0284*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.9716*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.385761602,0.00294466987904,21.175,81.724,0.0240*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.9760*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.386133068,0.00295509964248,21.250,81.803,0.0202*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.9798*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.386194978,0.00295683793639,21.263,81.816,0.0196*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.9804*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.386628355,0.00296900599374,21.350,81.908,0.0152*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.9848*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.387061732,0.00298117405109,21.438,82.000,0.0107*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.9893*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.387371287,0.00298986552063,21.500,82.065,0.0076*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.9924*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.387495109,0.00299334210844,21.525,82.092,0.0063*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.9937*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.387928486,0.0030055101658,21.613,82.183,0.0019*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.9981*solver:openai/gpt-oss-20b,,computed_convex_hull
Direct random,0.388186356,0.00301767822315,21.700,82.238,0.9947*solver:openai/gpt-oss-20b + 0.0053*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.388260130,0.00302463139878,21.750,82.254,0.9894*solver:openai/gpt-oss-20b + 0.0106*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.388315460,0.0030298462805,21.788,82.265,0.9854*solver:openai/gpt-oss-20b + 0.0146*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.388444564,0.00304201433785,21.875,82.293,0.9762*solver:openai/gpt-oss-20b + 0.0238*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.388573667,0.0030541823952,21.962,82.320,0.9670*solver:openai/gpt-oss-20b + 0.0330*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.388628998,0.00305939727692,22.000,82.332,0.9630*solver:openai/gpt-oss-20b + 0.0370*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.388702771,0.00306635045255,22.050,82.347,0.9578*solver:openai/gpt-oss-20b + 0.0422*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.388831875,0.0030785185099,22.137,82.375,0.9485*solver:openai/gpt-oss-20b + 0.0515*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.388960979,0.00309068656726,22.225,82.402,0.9393*solver:openai/gpt-oss-20b + 0.0607*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.388997866,0.00309416315507,22.250,82.410,0.9367*solver:openai/gpt-oss-20b + 0.0633*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.389090083,0.00310285462461,22.313,82.429,0.9301*solver:openai/gpt-oss-20b + 0.0699*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.389219186,0.00311502268196,22.400,82.457,0.9208*solver:openai/gpt-oss-20b + 0.0792*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.389348290,0.00312719073931,22.488,82.484,0.9116*solver:openai/gpt-oss-20b + 0.0884*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.389366734,0.00312892903322,22.500,82.488,0.9103*solver:openai/gpt-oss-20b + 0.0897*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.389477394,0.00313935879666,22.575,82.512,0.9024*solver:openai/gpt-oss-20b + 0.0976*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.389606498,0.00315152685401,22.663,82.539,0.8931*solver:openai/gpt-oss-20b + 0.1069*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.389735602,0.00316369491136,22.750,82.566,0.8839*solver:openai/gpt-oss-20b + 0.1161*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.389864705,0.00317586296872,22.838,82.594,0.8747*solver:openai/gpt-oss-20b + 0.1253*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.389993809,0.00318803102607,22.925,82.621,0.8654*solver:openai/gpt-oss-20b + 0.1346*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.390104469,0.00319846078951,23.000,82.644,0.8575*solver:openai/gpt-oss-20b + 0.1425*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.390122913,0.00320019908342,23.012,82.648,0.8562*solver:openai/gpt-oss-20b + 0.1438*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.390252017,0.00321236714077,23.100,82.676,0.8470*solver:openai/gpt-oss-20b + 0.1530*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.390381120,0.00322453519812,23.188,82.703,0.8377*solver:openai/gpt-oss-20b + 0.1623*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.390473337,0.00323322666766,23.250,82.722,0.8312*solver:openai/gpt-oss-20b + 0.1688*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.390510224,0.00323670325547,23.275,82.730,0.8285*solver:openai/gpt-oss-20b + 0.1715*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.390639328,0.00324887131282,23.363,82.758,0.8193*solver:openai/gpt-oss-20b + 0.1807*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.390768432,0.00326103937017,23.450,82.785,0.8101*solver:openai/gpt-oss-20b + 0.1899*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.390842205,0.0032679925458,23.500,82.801,0.8048*solver:openai/gpt-oss-20b + 0.1952*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.390897536,0.00327320742753,23.538,82.812,0.8008*solver:openai/gpt-oss-20b + 0.1992*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.391026639,0.00328537548488,23.625,82.840,0.7916*solver:openai/gpt-oss-20b + 0.2084*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.391155743,0.00329754354223,23.712,82.867,0.7824*solver:openai/gpt-oss-20b + 0.2176*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.391211073,0.00330275842395,23.750,82.879,0.7784*solver:openai/gpt-oss-20b + 0.2216*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.391284847,0.00330971159958,23.800,82.894,0.7731*solver:openai/gpt-oss-20b + 0.2269*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.391413951,0.00332187965693,23.887,82.922,0.7639*solver:openai/gpt-oss-20b + 0.2361*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.391543055,0.00333404771428,23.975,82.949,0.7547*solver:openai/gpt-oss-20b + 0.2453*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.391579941,0.0033375243021,24.000,82.957,0.7520*solver:openai/gpt-oss-20b + 0.2480*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.391672158,0.00334621577163,24.062,82.976,0.7454*solver:openai/gpt-oss-20b + 0.2546*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.391801262,0.00335838382899,24.150,83.004,0.7362*solver:openai/gpt-oss-20b + 0.2638*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.391930366,0.00337055188634,24.238,83.031,0.7270*solver:openai/gpt-oss-20b + 0.2730*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.391948809,0.00337229018024,24.250,83.035,0.7257*solver:openai/gpt-oss-20b + 0.2743*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.392059470,0.00338271994369,24.325,83.059,0.7177*solver:openai/gpt-oss-20b + 0.2823*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.392188573,0.00339488800104,24.413,83.086,0.7085*solver:openai/gpt-oss-20b + 0.2915*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.392317677,0.00340705605839,24.500,83.113,0.6993*solver:openai/gpt-oss-20b + 0.3007*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.392446781,0.00341922411574,24.587,83.141,0.6901*solver:openai/gpt-oss-20b + 0.3099*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.392575885,0.00343139217309,24.675,83.168,0.6808*solver:openai/gpt-oss-20b + 0.3192*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.392686545,0.00344182193654,24.750,83.191,0.6729*solver:openai/gpt-oss-20b + 0.3271*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.392704989,0.00344356023045,24.762,83.195,0.6716*solver:openai/gpt-oss-20b + 0.3284*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.392834092,0.0034557282878,24.850,83.223,0.6624*solver:openai/gpt-oss-20b + 0.3376*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.392963196,0.00346789634515,24.938,83.250,0.6531*solver:openai/gpt-oss-20b + 0.3469*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.393055413,0.00347658781469,25.000,83.270,0.6465*solver:openai/gpt-oss-20b + 0.3535*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.393092300,0.0034800644025,25.025,83.277,0.6439*solver:openai/gpt-oss-20b + 0.3561*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.393221404,0.00349223245985,25.113,83.305,0.6347*solver:openai/gpt-oss-20b + 0.3653*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.393350508,0.0035044005172,25.200,83.332,0.6254*solver:openai/gpt-oss-20b + 0.3746*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.393424281,0.00351135369283,25.250,83.348,0.6202*solver:openai/gpt-oss-20b + 0.3798*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.393479611,0.00351656857455,25.288,83.359,0.6162*solver:openai/gpt-oss-20b + 0.3838*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.393608715,0.00352873663191,25.375,83.387,0.6070*solver:openai/gpt-oss-20b + 0.3930*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.393737819,0.00354090468926,25.462,83.414,0.5977*solver:openai/gpt-oss-20b + 0.4023*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.393793149,0.00354611957098,25.500,83.426,0.5938*solver:openai/gpt-oss-20b + 0.4062*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.393866923,0.00355307274661,25.550,83.441,0.5885*solver:openai/gpt-oss-20b + 0.4115*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.393996026,0.00356524080396,25.637,83.469,0.5793*solver:openai/gpt-oss-20b + 0.4207*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.394125130,0.00357740886131,25.725,83.496,0.5701*solver:openai/gpt-oss-20b + 0.4299*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.394162017,0.00358088544913,25.750,83.504,0.5674*solver:openai/gpt-oss-20b + 0.4326*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.394254234,0.00358957691866,25.812,83.523,0.5608*solver:openai/gpt-oss-20b + 0.4392*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.394383338,0.00360174497601,25.900,83.551,0.5516*solver:openai/gpt-oss-20b + 0.4484*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.394512442,0.00361391303337,25.988,83.578,0.5424*solver:openai/gpt-oss-20b + 0.4576*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.394530885,0.00361565132727,26.000,83.582,0.5410*solver:openai/gpt-oss-20b + 0.4590*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.394641545,0.00362608109072,26.075,83.606,0.5331*solver:openai/gpt-oss-20b + 0.4669*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.394770649,0.00363824914807,26.162,83.633,0.5239*solver:openai/gpt-oss-20b + 0.4761*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.394899753,0.00365041720542,26.250,83.660,0.5147*solver:openai/gpt-oss-20b + 0.4853*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.395028857,0.00366258526277,26.337,83.688,0.5054*solver:openai/gpt-oss-20b + 0.4946*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.395157960,0.00367475332012,26.425,83.715,0.4962*solver:openai/gpt-oss-20b + 0.5038*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.395268621,0.00368518308357,26.500,83.738,0.4883*solver:openai/gpt-oss-20b + 0.5117*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.395287064,0.00368692137747,26.512,83.742,0.4870*solver:openai/gpt-oss-20b + 0.5130*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.395416168,0.00369908943483,26.600,83.770,0.4777*solver:openai/gpt-oss-20b + 0.5223*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.395545272,0.00371125749218,26.687,83.797,0.4685*solver:openai/gpt-oss-20b + 0.5315*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.395637489,0.00371994896171,26.750,83.817,0.4619*solver:openai/gpt-oss-20b + 0.5381*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.395674376,0.00372342554953,26.775,83.824,0.4593*solver:openai/gpt-oss-20b + 0.5407*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.395803479,0.00373559360688,26.863,83.852,0.4501*solver:openai/gpt-oss-20b + 0.5499*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.395932583,0.00374776166423,26.950,83.879,0.4408*solver:openai/gpt-oss-20b + 0.5592*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.396006357,0.00375471483986,27.000,83.895,0.4355*solver:openai/gpt-oss-20b + 0.5645*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.396061687,0.00375992972158,27.038,83.906,0.4316*solver:openai/gpt-oss-20b + 0.5684*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.396190791,0.00377209777893,27.125,83.934,0.4224*solver:openai/gpt-oss-20b + 0.5776*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.396319895,0.00378426583628,27.212,83.961,0.4131*solver:openai/gpt-oss-20b + 0.5869*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.396375225,0.00378948071801,27.250,83.973,0.4092*solver:openai/gpt-oss-20b + 0.5908*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.396448998,0.00379643389364,27.300,83.988,0.4039*solver:openai/gpt-oss-20b + 0.5961*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.396578102,0.00380860195099,27.388,84.016,0.3947*solver:openai/gpt-oss-20b + 0.6053*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.396707206,0.00382077000834,27.475,84.043,0.3854*solver:openai/gpt-oss-20b + 0.6146*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.396744093,0.00382424659615,27.500,84.051,0.3828*solver:openai/gpt-oss-20b + 0.6172*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.396836310,0.00383293806569,27.562,84.071,0.3762*solver:openai/gpt-oss-20b + 0.6238*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.396965413,0.00384510612304,27.650,84.098,0.3670*solver:openai/gpt-oss-20b + 0.6330*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.397094517,0.00385727418039,27.738,84.125,0.3577*solver:openai/gpt-oss-20b + 0.6423*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.397112961,0.0038590124743,27.750,84.129,0.3564*solver:openai/gpt-oss-20b + 0.6436*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.397223621,0.00386944223774,27.825,84.153,0.3485*solver:openai/gpt-oss-20b + 0.6515*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.397352725,0.0038816102951,27.913,84.180,0.3393*solver:openai/gpt-oss-20b + 0.6607*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.397481829,0.00389377835245,28.000,84.207,0.3300*solver:openai/gpt-oss-20b + 0.6700*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.397610932,0.0039059464098,28.087,84.235,0.3208*solver:openai/gpt-oss-20b + 0.6792*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.397740036,0.00391811446715,28.175,84.262,0.3116*solver:openai/gpt-oss-20b + 0.6884*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.397850697,0.00392854423059,28.250,84.285,0.3037*solver:openai/gpt-oss-20b + 0.6963*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.397869140,0.0039302825245,28.262,84.289,0.3024*solver:openai/gpt-oss-20b + 0.6976*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.397998244,0.00394245058185,28.350,84.317,0.2931*solver:openai/gpt-oss-20b + 0.7069*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.398127348,0.0039546186392,28.438,84.344,0.2839*solver:openai/gpt-oss-20b + 0.7161*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.398219565,0.00396331010874,28.500,84.364,0.2773*solver:openai/gpt-oss-20b + 0.7227*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.398256451,0.00396678669656,28.525,84.371,0.2747*solver:openai/gpt-oss-20b + 0.7253*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.398385555,0.00397895475391,28.613,84.399,0.2654*solver:openai/gpt-oss-20b + 0.7346*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.398514659,0.00399112281126,28.700,84.426,0.2562*solver:openai/gpt-oss-20b + 0.7438*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.398588432,0.00399807598689,28.750,84.442,0.2509*solver:openai/gpt-oss-20b + 0.7491*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.398643763,0.00400329086861,28.787,84.453,0.2470*solver:openai/gpt-oss-20b + 0.7530*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.398772866,0.00401545892596,28.875,84.481,0.2377*solver:openai/gpt-oss-20b + 0.7623*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.398901970,0.00402762698331,28.962,84.508,0.2285*solver:openai/gpt-oss-20b + 0.7715*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.398957300,0.00403284186503,29.000,84.520,0.2246*solver:openai/gpt-oss-20b + 0.7754*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.399031074,0.00403979504066,29.050,84.535,0.2193*solver:openai/gpt-oss-20b + 0.7807*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.399160178,0.00405196309802,29.137,84.563,0.2100*solver:openai/gpt-oss-20b + 0.7900*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.399289282,0.00406413115537,29.225,84.590,0.2008*solver:openai/gpt-oss-20b + 0.7992*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.399326168,0.00406760774318,29.250,84.598,0.1982*solver:openai/gpt-oss-20b + 0.8018*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.399418385,0.00407629921272,29.312,84.618,0.1916*solver:openai/gpt-oss-20b + 0.8084*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.399547489,0.00408846727007,29.400,84.645,0.1824*solver:openai/gpt-oss-20b + 0.8176*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.399676593,0.00410063532742,29.488,84.672,0.1731*solver:openai/gpt-oss-20b + 0.8269*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.399695036,0.00410237362133,29.500,84.676,0.1718*solver:openai/gpt-oss-20b + 0.8282*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.399805697,0.00411280338477,29.575,84.700,0.1639*solver:openai/gpt-oss-20b + 0.8361*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.399934801,0.00412497144212,29.663,84.727,0.1547*solver:openai/gpt-oss-20b + 0.8453*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
Direct random,0.400063904,0.00413713949948,29.750,84.754,0.1454*solver:openai/gpt-oss-20b + 0.8546*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,,computed_convex_hull
